model,strategy,bin_index,mean_predicted_value,fraction_of_positives,bin_count,abs_error
LR,quantile,0,0.13481277072030587,0.028336218775394835,28303,0.10647655194491104
LR,quantile,1,0.21574283402228847,0.05585980284775466,28302,0.1598830311745338
LR,quantile,2,0.2767053448682304,0.07525969896120416,28303,0.20144564590702624
LR,quantile,3,0.3294575615290313,0.09903543793944104,28302,0.23042212358959024
LR,quantile,4,0.37841865777313,0.12154618048194474,28303,0.25687247729118523
LR,quantile,5,0.4264701747149499,0.14694555347489666,28302,0.2795246212400533
LR,quantile,6,0.47583855424597055,0.1736626386827786,28303,0.30217591556319195
LR,quantile,7,0.5290199728769159,0.20386531463095786,28302,0.3251546582459581
LR,quantile,8,0.5913338984907417,0.25270298918804324,28303,0.33863090930269846
LR,quantile,9,0.6936843109356526,0.3314136310638448,28303,0.36227067987180783
LR,uniform,0,0.08119279037759838,0.014307726172132952,0,0.06688506420546543
LR,uniform,1,0.1559776246134932,0.03484576987072827,0,0.12113185474276494
LR,uniform,2,0.25249249752424663,0.06723226466575716,0,0.18526023285848947
LR,uniform,3,0.350742892336711,0.10854592059146628,0,0.24219697174524474
LR,uniform,4,0.4491750220281731,0.15987422482312866,0,0.2893007972050444
LR,uniform,5,0.5473601265324017,0.21911496156622925,0,0.3282451649661725
LR,uniform,6,0.6433923102384275,0.29327232430113676,0,0.3501199859372907
LR,uniform,7,0.7373279638148378,0.36019159127195316,0,0.3771363725428846
LR,uniform,8,0.8282188179816609,0.4292682926829268,0,0.39895052529873404
LR,uniform,9,0.928565297856634,0.375,0,0.553565297856634
