model,strategy,bin_index,mean_predicted_value,fraction_of_positives,bin_count,abs_error
XGB,quantile,0,0.10286765732588467,0.026781613256545243,28303,0.07608604406933943
XGB,quantile,1,0.18335346236103175,0.051584637670918275,28302,0.13176882469011347
XGB,quantile,2,0.24472473207741405,0.07366970532117871,28303,0.17105502675623535
XGB,quantile,3,0.2988525371043896,0.09490160053704555,28302,0.20395093656734403
XGB,quantile,4,0.35123864604229554,0.1199561868419193,28303,0.23128245920037624
XGB,quantile,5,0.4038036842735876,0.14708688124933753,28303,0.25671680302425004
XGB,quantile,6,0.4583263386139119,0.1713306480107413,28302,0.28699569060317065
XGB,quantile,7,0.5172511713382983,0.2047486132212133,28302,0.31250255811708505
XGB,quantile,8,0.5850837225354136,0.25270298918804324,28303,0.3323807333473704
XGB,quantile,9,0.6875308618921907,0.34586439600042396,28303,0.34166646589176675
XGB,uniform,0,0.0723067557901876,0.017636393604746992,0,0.05467036218544061
XGB,uniform,1,0.15386424483732883,0.04213648265911398,0,0.11172776217821484
XGB,uniform,2,0.2518048433776147,0.0764581504827256,0,0.17534669289488913
XGB,uniform,3,0.3499624101402863,0.12017938881784992,0,0.22978302132243636
XGB,uniform,4,0.44900030355383846,0.1670800362190465,0,0.281920267334792
XGB,uniform,5,0.5478303675817817,0.22531319963797455,0,0.32251716794380714
XGB,uniform,6,0.6443029441828536,0.30502303462624464,0,0.33927990955660897
XGB,uniform,7,0.7365052209940756,0.38984953963620034,0,0.3466556813578752
XGB,uniform,8,0.8232218561285272,0.5137976346911958,0,0.3094242214373314
XGB,uniform,9,0.9141571521759033,1.0,0,0.08584284782409668
