conceptual_feature,lr_max_abs_coef,lr_conceptual_rank,lr_n_dummies,xgb_total_gain,xgb_conceptual_rank,xgb_n_dummies,rank_agreement
sub_grade,1.6614107922969756,1,34,1077.338623046875,2,1,1
addr_state,0.8994139742011346,2,50,1366.7016620635986,1,50,1
term,0.798486212300179,3,1,568.6812744140625,3,1,0
purpose,0.6881596090751838,4,13,452.1561508178711,4,13,0
home_ownership,0.3897865134152873,5,3,122.30673027038574,6,3,1
emp_length_missing,0.347276362731175,6,1,118.2607421875,7,1,1
annual_inc,0.2235465935222473,7,1,101.5925064086914,9,1,2
tot_cur_bal,0.1871025860677789,8,1,29.476381301879883,45,1,37
has_prior_delinq,0.1729893916136713,9,1,27.75367546081543,57,1,48
has_public_record_history,0.1605148824456334,10,1,32.531856536865234,36,1,26
installment,0.1600810480295086,11,1,39.09269714355469,22,1,11
num_rev_tl_bal_gt_0,0.1474774508254884,12,1,46.7412223815918,17,1,5
acc_open_past_24mths,0.1352015443888348,13,1,104.8801727294922,8,1,5
tot_hi_cred_lim,0.1286252084910819,14,1,37.96888732910156,26,1,12
dti,0.1192397018032803,15,1,57.67709732055664,13,1,2
verification_status,0.1166791185008417,16,2,66.52979278564453,10,2,6
fico_score,0.1147806478991699,17,1,53.93437957763672,16,1,1
bc_util,0.1043190632870636,18,1,31.54889297485352,38,1,20
bc_open_to_buy,0.1006422799854335,19,1,34.29194259643555,31,1,12
inq_last_6mths,0.092666609991128,20,1,56.16936874389648,15,1,5
mo_sin_old_rev_tl_op,0.0902947548209442,21,1,38.894622802734375,23,1,2
mths_since_last_delinq,0.0894967986890714,22,1,29.402118682861328,46,1,24
int_rate,0.089336017070953,23,1,217.87750244140625,5,1,18
avg_cur_bal,0.0890731519611125,24,1,57.92741012573242,12,1,12
num_actv_rev_tl,0.0874166829428669,25,1,38.50399017333984,24,1,1
num_rev_accts,0.0873625585405028,26,1,28.173179626464844,53,1,27
credit_history_months,0.0825368010048683,27,1,30.303272247314453,43,1,16
revol_util,0.0679915970844387,28,1,28.190580368041992,52,1,24
has_revol_delinq,0.067623714231172,29,1,28.980581283569336,50,1,21
num_bc_tl,0.0661144710608592,30,1,28.85785675048828,51,1,21
pct_tl_nvr_dlq,0.0650551213432663,31,1,29.78978538513184,44,1,13
mths_since_recent_bc,0.0564615614597827,32,1,44.20639419555664,18,1,14
percent_bc_gt_75,0.0553323528899716,33,1,33.8166389465332,33,1,0
delinq_2yrs,0.0488338704078495,34,1,38.00434112548828,25,1,9
revol_bal,0.0479352381543122,35,1,33.86542892456055,32,1,3
total_bc_limit,0.0467657096320929,36,1,42.3101921081543,19,1,17
num_il_tl,0.0433551651716915,37,1,29.24205780029297,48,1,11
has_bc_delinq,0.0432160020617086,38,1,26.035058975219727,62,1,24
num_tl_op_past_12m,0.0422300636588784,39,1,37.44388961791992,28,1,11
has_major_derog,0.0389868487400601,40,1,35.866920471191406,30,1,10
mort_acc,0.038569031844739,41,1,56.57183074951172,14,1,27
mths_since_last_record,0.0374386340379813,42,1,32.13656997680664,37,1,5
pub_rec_bankruptcies,0.0365559833057251,43,1,37.7928466796875,27,1,16
mths_since_recent_bc_dlq,0.0353933581914977,44,1,29.199085235595703,49,1,5
loan_amnt,0.0335929155884016,45,1,58.62828063964844,11,1,34
total_acc,0.0325268581145017,46,1,30.902847290039062,39,1,7
num_bc_sats,0.0250718385152475,47,1,30.63385391235352,41,1,6
total_bal_ex_mort,0.0228453879034371,48,1,28.05025863647461,54,1,6
mths_since_recent_revol_delinq,0.020456475806281,49,1,25.23294448852539,63,1,14
mo_sin_rcnt_tl,0.0183974863355096,50,1,32.87284469604492,34,1,16
initial_list_status,0.0146263444207875,51,1,40.59542465209961,20,1,31
num_accts_ever_120_pd,0.0120138745647048,52,1,29.251384735107425,47,1,5
chargeoff_within_12_mths,0.0114284994453501,53,1,23.986730575561523,65,1,12
num_actv_bc_tl,0.0111709534281137,54,1,37.43759536743164,29,1,25
num_tl_30dpd,0.009984381649533,55,1,20.983312606811523,69,1,14
tot_coll_amt,0.0093946875948305,56,1,26.888744354248047,60,1,4
total_rev_hi_lim,0.009150158846794,57,1,30.55564308166504,42,1,15
mths_since_last_major_derog,0.0088761081811606,58,1,27.96181297302246,55,1,3
num_tl_90g_dpd_24m,0.0080024208852791,59,1,27.27469062805176,58,1,1
pub_rec,0.0072640488286172,60,1,27.05014419555664,59,1,1
tax_liens,0.0070860892080322,61,1,24.32330703735352,64,1,3
mo_sin_old_il_acct,0.0057212433436951,62,1,27.87564849853516,56,1,6
acc_now_delinq,0.0053223630368438,63,1,23.64016342163086,66,1,3
collections_12_mths_ex_med,0.0052900219583845,64,1,19.52899169921875,70,1,6
num_tl_120dpd_2m,0.0040774747533731,65,1,23.485107421875,67,1,2
mths_since_recent_inq,0.003222633309926,66,1,32.782440185546875,35,1,31
open_acc,0.0029115572568899,67,1,23.45501136779785,68,1,1
delinq_amnt,0.0022801928924915,68,1,26.05569839477539,61,1,7
total_il_high_credit_limit,0.0020952427390274,69,1,30.72357749938965,40,1,29
emp_length,0.0005753745642877,70,1,39.18260192871094,21,1,49
application_type,0.0,71,1,0.0,71,1,0
