feature_name,coefficient,abs_coefficient,sign,transformation,reference_category,feature_group,capping,rank_by_abs
sub_grade_G1,1.6614107922969756,1.6614107922969756,+,one_hot,A1,credit_grade,,1
sub_grade_G5,1.6400327886834818,1.6400327886834818,+,one_hot,A1,credit_grade,,2
sub_grade_G4,1.5899868842801876,1.5899868842801876,+,one_hot,A1,credit_grade,,3
sub_grade_F4,1.570258050248249,1.570258050248249,+,one_hot,A1,credit_grade,,4
sub_grade_G3,1.562575911328647,1.562575911328647,+,one_hot,A1,credit_grade,,5
sub_grade_F5,1.5534067837046277,1.5534067837046277,+,one_hot,A1,credit_grade,,6
sub_grade_F3,1.5309738669103148,1.5309738669103148,+,one_hot,A1,credit_grade,,7
sub_grade_F2,1.494373223060691,1.494373223060691,+,one_hot,A1,credit_grade,,8
sub_grade_E5,1.490933251812666,1.490933251812666,+,one_hot,A1,credit_grade,,9
sub_grade_E4,1.4683706408787929,1.4683706408787929,+,one_hot,A1,credit_grade,,10
sub_grade_E2,1.4414038570297678,1.4414038570297678,+,one_hot,A1,credit_grade,,11
sub_grade_G2,1.4354418103640068,1.4354418103640068,+,one_hot,A1,credit_grade,,12
sub_grade_F1,1.4253008598475925,1.4253008598475925,+,one_hot,A1,credit_grade,,13
sub_grade_E3,1.411249846695161,1.411249846695161,+,one_hot,A1,credit_grade,,14
sub_grade_E1,1.4018167410171474,1.4018167410171474,+,one_hot,A1,credit_grade,,15
sub_grade_D5,1.321490526327408,1.321490526327408,+,one_hot,A1,credit_grade,,16
sub_grade_D4,1.3203829105069735,1.3203829105069735,+,one_hot,A1,credit_grade,,17
sub_grade_D2,1.2816977993950027,1.2816977993950027,+,one_hot,A1,credit_grade,,18
sub_grade_D3,1.254484221282151,1.254484221282151,+,one_hot,A1,credit_grade,,19
sub_grade_D1,1.216696546046078,1.216696546046078,+,one_hot,A1,credit_grade,,20
sub_grade_C5,1.1584933343479333,1.1584933343479333,+,one_hot,A1,credit_grade,,21
sub_grade_C4,1.1308910280147026,1.1308910280147026,+,one_hot,A1,credit_grade,,22
sub_grade_C3,1.0939593427736898,1.0939593427736898,+,one_hot,A1,credit_grade,,23
sub_grade_C2,1.0076422878822988,1.0076422878822988,+,one_hot,A1,credit_grade,,24
sub_grade_C1,0.9507707702902328,0.9507707702902328,+,one_hot,A1,credit_grade,,25
addr_state_NE,0.8994139742011346,0.8994139742011346,+,one_hot,CA,geographic,,26
sub_grade_B5,0.8994067529720676,0.8994067529720676,+,one_hot,A1,credit_grade,,27
sub_grade_B4,0.8102611618833866,0.8102611618833866,+,one_hot,A1,credit_grade,,28
term,0.798486212300179,0.798486212300179,+,binary,,loan_terms,,29
sub_grade_B3,0.7339319755934489,0.7339319755934489,+,one_hot,A1,credit_grade,,30
purpose_small_business,0.6881596090751838,0.6881596090751838,+,one_hot,debt_consolidation,loan_purpose,,31
sub_grade_B2,0.6681691628688625,0.6681691628688625,+,one_hot,A1,credit_grade,,32
sub_grade_B1,0.6005395451730972,0.6005395451730972,+,one_hot,A1,credit_grade,,33
sub_grade_A5,0.511321780986286,0.511321780986286,+,one_hot,A1,credit_grade,,34
addr_state_DC,-0.47642837758148615,0.47642837758148615,-,one_hot,CA,geographic,,35
addr_state_WY,-0.40323167137115873,0.40323167137115873,-,one_hot,CA,geographic,,36
home_ownership_OTHER,0.3897865134152873,0.3897865134152873,+,one_hot,MORTGAGE,housing,,37
addr_state_WV,-0.3867534362762124,0.3867534362762124,-,one_hot,CA,geographic,,38
sub_grade_A4,0.3571181570999042,0.3571181570999042,+,one_hot,A1,credit_grade,,39
emp_length_missing,0.34727636273117507,0.34727636273117507,+,binary_indicator,,missingness_indicator,,40
addr_state_NH,-0.3442294010524491,0.3442294010524491,-,one_hot,CA,geographic,,41
addr_state_VT,-0.3221769555750634,0.3221769555750634,-,one_hot,CA,geographic,,42
addr_state_MS,0.2989016197759119,0.2989016197759119,+,one_hot,CA,geographic,,43
addr_state_CO,-0.2508725772949471,0.2508725772949471,-,one_hot,CA,geographic,,44
addr_state_KS,-0.2434644298063522,0.2434644298063522,-,one_hot,CA,geographic,,45
purpose_educational,0.24067793978110816,0.24067793978110816,+,one_hot,debt_consolidation,loan_purpose,,46
purpose_medical,0.2394356957828645,0.2394356957828645,+,one_hot,debt_consolidation,loan_purpose,,47
addr_state_SC,-0.23758609085024923,0.23758609085024923,-,one_hot,CA,geographic,,48
purpose_moving,0.2313015433988405,0.2313015433988405,+,one_hot,debt_consolidation,loan_purpose,,49
annual_inc,-0.22354659352224734,0.22354659352224734,-,log1p_scaled,,borrower_profile,99.5th pctl ($300K),50
addr_state_MT,-0.21638676700363535,0.21638676700363535,-,one_hot,CA,geographic,,51
purpose_wedding,-0.20170203835193448,0.20170203835193448,-,one_hot,debt_consolidation,loan_purpose,,52
addr_state_OR,-0.19757864825023916,0.19757864825023916,-,one_hot,CA,geographic,,53
purpose_renewable_energy,0.18893325733750482,0.18893325733750482,+,one_hot,debt_consolidation,loan_purpose,,54
tot_cur_bal,0.18710258606777896,0.18710258606777896,+,log1p_scaled,,credit_bureau,,55
addr_state_NV,0.18058775849539074,0.18058775849539074,+,one_hot,CA,geographic,,56
has_prior_delinq,-0.17298939161367138,0.17298939161367138,-,binary_indicator,,missingness_indicator,,57
addr_state_WA,-0.1712638984767942,0.1712638984767942,-,one_hot,CA,geographic,,58
sub_grade_A3,0.16583381395923294,0.16583381395923294,+,one_hot,A1,credit_grade,,59
has_public_record_history,0.16051488244563344,0.16051488244563344,+,binary_indicator,,missingness_indicator,,60
installment,0.1600810480295086,0.1600810480295086,+,scaled,,loan_terms,,61
addr_state_AK,-0.15718218601915632,0.15718218601915632,-,one_hot,CA,geographic,,62
addr_state_NM,0.1549397462936779,0.1549397462936779,+,one_hot,CA,geographic,,63
num_rev_tl_bal_gt_0,0.1474774508254884,0.1474774508254884,+,scaled,,credit_bureau,,64
