feature_name,perm_importance_mean,perm_importance_std,perm_rank
sub_grade,0.028620948578463246,0.0003739295910244339,1
annual_inc,0.010517622555764505,0.0003300812788965129,2
int_rate,0.009924457957251975,0.0003607366146477493,3
acc_open_past_24mths,0.009665786226292073,0.00031048598208159405,4
loan_amnt,0.009030517205517962,0.00028759154414294226,5
dti,0.005613891215757916,0.00028422626578493643,6
home_ownership_RENT,0.0030601205117569475,0.00015885951664389137,7
mo_sin_old_rev_tl_op,0.002990820943149719,0.00025858050313094804,8
fico_score,0.0027975364942350533,0.00011789560799610331,9
emp_length_missing,0.0024111051225084055,7.671342418835782e-05,10
revol_bal,0.002261821291924071,0.00022455673098194711,11
total_bc_limit,0.002259902005697689,0.00014736286706513408,12
credit_history_months,0.0021549598548280314,0.00010626496351010986,13
mths_since_recent_bc,0.0020574482713998977,0.00020292412392865596,14
installment,0.0020285159490838977,0.0001348503222327804,15
bc_util,0.001502742633661025,0.00018771830632077394,16
revol_util,0.0013826234408540028,0.00011866228357380528,17
total_rev_hi_lim,0.001301706345372966,0.0001556339790988275,18
percent_bc_gt_75,0.0012804371670603887,4.5131859004979824e-05,19
num_tl_op_past_12m,0.0012698388191554667,7.874012443103038e-05,20
emp_length,0.0011572664525124066,0.00011797087065524837,21
mths_since_recent_inq,0.0010485162139127978,7.529702607348841e-05,22
inq_last_6mths,0.0009936011829777326,6.58861763029415e-05,23
avg_cur_bal,0.0007997275581698605,7.854568999307816e-05,24
delinq_2yrs,0.0006773178384676837,6.1714269162602e-05,25
mort_acc,0.0006520905824653256,8.067177385127375e-05,26
num_rev_tl_bal_gt_0,0.0006403583782517597,5.005998973132905e-05,27
mths_since_last_record,0.000620967636242864,4.426158936341914e-05,28
total_il_high_credit_limit,0.0005970957089473705,0.00011504439162774276,29
num_bc_tl,0.0005552176214661863,6.495975305053911e-05,30
pct_tl_nvr_dlq,0.00048594011339367913,8.745726460957759e-05,31
total_bal_ex_mort,0.000449878883466992,5.559460567913929e-05,32
tot_hi_cred_lim,0.0004369942207609112,5.8519483259460694e-05,33
mo_sin_rcnt_tl,0.00043511596180861867,8.160524334292868e-05,34
num_il_tl,0.0004337051172094486,7.058281614741336e-05,35
num_rev_accts,0.0004107673978907767,3.757930781577098e-05,36
purpose_small_business,0.0003914632525945594,2.1291331027347538e-05,37
mths_since_recent_bc_dlq,0.0003904546457353719,5.150461543757821e-05,38
num_actv_bc_tl,0.00038846559146680224,3.7555733213262913e-05,39
addr_state_CO,0.0003753940497245423,8.554764472978396e-05,40
addr_state_OR,0.000343212473715393,6.309314845925315e-05,41
purpose_credit_card,0.00034200887399669087,5.014695421579665e-05,42
addr_state_WA,0.00033990507834493757,5.688445900843221e-05,43
mo_sin_old_il_acct,0.0003359021406218243,8.000302862928418e-05,44
addr_state_SC,0.00033356837941384,4.45198999905134e-05,45
pub_rec_bankruptcies,0.0003305447708014775,5.877201546853958e-05,46
num_accts_ever_120_pd,0.0003288256058438299,4.334884499577416e-05,47
mths_since_last_major_derog,0.00031817648619463234,4.008304966997835e-05,48
bc_open_to_buy,0.00028977508478680305,3.5719430400542546e-05,49
addr_state_GA,0.00027488085417523014,4.465533678431733e-05,50
num_bc_sats,0.0002279595254881639,1.937675144593018e-05,51
addr_state_NY,0.00022320289880878308,4.5858919526254205e-05,52
tot_cur_bal,0.0002129260051135784,5.1671378049431475e-05,53
tot_coll_amt,0.00020789339020816923,5.675351800167502e-05,54
addr_state_IL,0.00020013610713416342,5.295681994541171e-05,55
num_actv_rev_tl,0.0002000708861830902,4.604178363900148e-05,56
addr_state_NJ,0.00019325983156480707,2.027094991350334e-05,57
addr_state_NH,0.00019032651448441795,3.8656077648079275e-05,58
verification_status_Verified,0.00016367264439399732,3.765659421145269e-05,59
addr_state_WV,0.00014516634853494191,5.291675149619106e-05,60
open_acc,0.00013691237335921035,2.5678328789518246e-05,61
verification_status_Not Verified,0.0001282350901204432,3.094756755936947e-05,62
addr_state_NV,0.00012322530919853803,3.168097212755127e-05,63
addr_state_KS,9.030087744339443e-05,5.508158893765801e-05,64
addr_state_WI,8.860348236137128e-05,2.1799558173733815e-05,65
purpose_other,8.845529054694046e-05,2.0385899567796916e-05,66
has_bc_delinq,8.692298984617209e-05,2.171725800301041e-05,67
has_public_record_history,7.895254032797006e-05,2.4989366649636458e-05,68
addr_state_VT,7.871765327236436e-05,2.5819262760553636e-05,69
addr_state_MD,6.628013267742094e-05,1.5889297939749444e-05,70
addr_state_WY,6.358569798396996e-05,2.5589884765488696e-05,71
mths_since_last_delinq,6.154932539562675e-05,5.392732052553747e-05,72
addr_state_AL,6.075115081434212e-05,1.1440268778934685e-05,73
total_acc,5.612267032283347e-05,4.4306486485492684e-05,74
purpose_vacation,4.908855207088614e-05,1.3567448347618863e-05,75
addr_state_TX,4.683152979748639e-05,2.502710570194021e-05,76
addr_state_CT,4.373022159748219e-05,1.237609638774678e-05,77
pub_rec,4.1205305215652464e-05,1.695043853831469e-05,78
addr_state_OK,3.924074513618203e-05,1.1980718600048844e-05,79
num_tl_90g_dpd_24m,3.672150892335413e-05,2.4526500503689365e-05,80
addr_state_MS,3.622469366101333e-05,2.2434676186870333e-05,81
mths_since_recent_revol_delinq,3.36868454114625e-05,2.4075416444979482e-05,82
chargeoff_within_12_mths,3.240632940680888e-05,2.9536900560543807e-05,83
purpose_car,2.784920326650564e-05,2.622212710924135e-05,84
initial_list_status,2.3943493482969648e-05,1.3444474113324211e-05,85
purpose_medical,2.32360587384961e-05,1.8606379593260332e-05,86
addr_state_NC,1.902260006180212e-05,9.723290359667687e-06,87
purpose_moving,1.85766304400925e-05,2.208568851923071e-05,88
addr_state_AR,1.8463051693351496e-05,5.0998382441622476e-06,89
addr_state_TN,1.8398185444823413e-05,2.115037626178436e-05,90
addr_state_UT,1.8195620668892686e-05,1.431035058872799e-05,91
addr_state_NM,1.758245800848046e-05,1.4295118328740113e-05,92
has_prior_delinq,1.649550619980955e-05,5.17073524626471e-06,93
purpose_home_improvement,1.5111082022278843e-05,1.1587792415918411e-05,94
addr_state_MT,1.3535123336105848e-05,2.2719653445686457e-05,95
addr_state_DC,1.1189528853339236e-05,2.7064365614802306e-05,96
has_major_derog,1.0797104553594838e-05,3.419610811345095e-06,97
addr_state_AZ,1.0708049554453148e-05,5.165425529539409e-06,98
addr_state_IN,9.601071824960616e-06,3.988092474572354e-06,99
addr_state_PA,8.411941018870995e-06,8.08578412179092e-06,100
home_ownership_OWN,7.994579151704428e-06,6.516673992413236e-06,101
purpose_major_purchase,7.81209941375094e-06,4.7149832156127084e-06,102
addr_state_MO,7.3116336698153536e-06,1.4376673087228888e-05,103
collections_12_mths_ex_med,7.1601608558680144e-06,2.1567205824553407e-06,104
addr_state_LA,6.015008252868714e-06,4.2131471915330575e-06,105
addr_state_HI,5.567161662878295e-06,4.519837830552532e-06,106
addr_state_MN,2.9064631332675896e-06,1.0016769962868535e-05,107
addr_state_KY,1.5220143235961104e-06,1.1359047425981724e-06,108
purpose_wedding,1.159005712292327e-06,1.7970689872680194e-06,109
term,0.0,0.0,110
addr_state_NE,0.0,0.0,111
addr_state_ND,0.0,0.0,112
addr_state_SD,0.0,0.0,113
addr_state_ME,0.0,0.0,114
application_type,0.0,0.0,115
addr_state_RI,0.0,0.0,116
addr_state_ID,0.0,0.0,117
addr_state_IA,0.0,0.0,118
home_ownership_OTHER,-1.0700196906299197e-08,4.676304456224789e-07,119
purpose_educational,-2.4954317240366564e-07,2.2821940910620045e-07,120
num_tl_30dpd,-9.826692274339521e-07,4.336913402321601e-06,121
purpose_renewable_energy,-1.0380471798576706e-06,6.3374013742657835e-06,122
addr_state_DE,-1.8759189001960052e-06,7.642869577256954e-06,123
acc_now_delinq,-1.9816005863759755e-06,4.057106690842774e-06,124
addr_state_MI,-4.12479779168251e-06,3.425041569837784e-06,125
delinq_amnt,-6.52795755992086e-06,6.5720385549029945e-06,126
num_tl_120dpd_2m,-7.127966663456054e-06,9.148404283853026e-06,127
addr_state_VA,-7.907947954244321e-06,1.880426912849757e-05,128
purpose_house,-8.56435970676417e-06,2.414299840367984e-06,129
addr_state_OH,-9.399359320838574e-06,1.61485237340941e-05,130
has_revol_delinq,-9.58317904663497e-06,4.0213041063635315e-06,131
addr_state_AK,-1.6142902199967057e-05,7.707814829420365e-06,132
addr_state_MA,-1.64762290958409e-05,8.296466164708506e-06,133
tax_liens,-1.6603946684634608e-05,1.84307743821577e-05,134
addr_state_FL,-1.7114220942304748e-05,3.558824486120467e-05,135
