feature_name,gain_importance,weight_importance,zero_importance,transformation,feature_group,gain_rank,weight_rank,rank_discrepancy,gain_importance_normalized
sub_grade,1077.338623046875,214.0,False,ordinal,credit_grade,1,11,10,0.17297237986393568
term,568.6812744140625,77.0,False,binary,loan_terms,2,40,38,0.09130476835710395
int_rate,217.87750244140625,355.0,False,raw,loan_terms,3,2,1,0.03498137847273739
emp_length_missing,118.2607421875,41.0,False,binary_indicator,missingness_indicator,4,50,46,0.018987383894949413
acc_open_past_24mths,104.88017272949219,188.0,False,raw,credit_bureau,5,18,13,0.01683906312228405
annual_inc,101.5925064086914,368.0,False,log1p_raw,borrower_profile,6,1,5,0.016311211010104947
purpose_small_business,99.82950592041016,45.0,False,one_hot,loan_purpose,7,49,42,0.016028152013021147
home_ownership_RENT,77.08540344238281,45.0,False,one_hot,housing,8,48,40,0.012376466786729531
loan_amnt,58.62828063964844,294.0,False,raw,loan_terms,9,4,5,0.009413078685409255
avg_cur_bal,57.92741012573242,209.0,False,log1p_raw,credit_bureau,10,13,3,0.009300550239686543
dti,57.67709732055664,312.0,False,raw,borrower_profile,11,3,8,0.009260361202836437
mort_acc,56.57183074951172,117.0,False,raw,credit_bureau,12,31,19,0.00908290484409474
inq_last_6mths,56.169368743896484,99.0,False,raw,credit_bureau,13,33,20,0.00901828745321424
addr_state_CO,54.79756546020508,21.0,False,one_hot,geographic,14,60,46,0.008798037223983445
fico_score,53.93437957763672,194.0,False,raw,derived,15,14,1,0.008659448192476769
addr_state_NY,50.64647674560547,19.0,False,one_hot,geographic,16,63,47,0.008131558107176194
addr_state_SC,50.42366409301758,12.0,False,one_hot,geographic,17,71,54,0.008095784364401684
addr_state_FL,47.1710319519043,16.0,False,one_hot,geographic,18,65,47,0.007573557173957948
num_rev_tl_bal_gt_0,46.7412223815918,88.0,False,raw,credit_bureau,19,37,18,0.007504548987789898
mths_since_recent_bc,44.20639419555664,216.0,False,raw,credit_bureau,20,10,10,0.007097568996072283
addr_state_NJ,43.356258392333984,22.0,False,one_hot,geographic,21,58,37,0.006961075223413245
addr_state_KS,43.35024642944336,11.0,False,one_hot,geographic,22,76,54,0.006960109971164231
purpose_credit_card,43.118778228759766,24.0,False,one_hot,loan_purpose,23,57,34,0.006922946534637811
total_bc_limit,42.3101921081543,210.0,False,log1p_raw,credit_bureau,24,12,12,0.0067931237819637055
addr_state_WV,41.95285415649414,11.0,False,one_hot,geographic,25,77,52,0.006735751295178117
addr_state_DC,41.90103530883789,9.0,False,one_hot,geographic,26,82,56,0.006727431506757686
addr_state_NV,40.67050552368164,15.0,False,one_hot,geographic,27,66,39,0.006529863480439304
initial_list_status,40.59542465209961,24.0,False,binary,loan_terms,28,56,28,0.006517808851781257
emp_length,39.18260192871094,141.0,False,ordinal,borrower_profile,29,25,4,0.006290972735853988
installment,39.09269714355469,267.0,False,raw,loan_terms,30,5,25,0.006276538049937268
mo_sin_old_rev_tl_op,38.894622802734375,251.0,False,raw,credit_bureau,31,7,24,0.00624473617317472
purpose_wedding,38.67662048339844,9.0,False,one_hot,loan_purpose,32,81,49,0.006209734754693361
num_actv_rev_tl,38.503990173339844,56.0,False,raw,credit_bureau,33,47,14,0.006182018050837488
delinq_2yrs,38.00434112548828,40.0,False,raw,credit_bureau,34,51,17,0.006101796769380772
